City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,flin flon,54.7682,-101.865,-3.91,92,100,3.23,CA,1698638564
174,urengoy,65.9667,78.3667,-13.44,89,9,1.1,RU,1698638463
175,benghazi,32.1167,20.0667,21.55,78,44,3.89,LY,1698638565
176,puerto penasco,31.3167,-113.5333,18.28,16,0,3.13,MX,1698638565
177,taguatinga,-12.3857,-46.5711,27.93,29,65,1.01,BR,1698638566
178,pontes e lacerda,-15.2261,-59.3353,25.87,64,74,1.43,BR,1698638566
179,aykhal,66.0,111.5,-19.89,93,94,1.56,RU,1698638567
180,bo phloi,14.3236,99.5161,28.39,79,100,5.73,TH,1698638567
181,yigo village,13.5361,144.8886,30.62,72,75,5.66,GU,1698638568
182,garagoa,5.0824,-73.3633,15.98,96,90,1.2,CO,1698638568
183,ilula,-7.6766,36.0366,17.3,87,81,2.59,TZ,1698638568
184,tahara,34.6667,137.2667,21.64,50,0,4.03,JP,1698638569
185,lagoa formosa,-18.7786,-46.4075,23.77,64,76,0.79,BR,1698638520
186,chonchi,-42.6128,-73.8092,4.56,96,99,2.41,CL,1698638570
187,dampit,-8.2116,112.7493,32.08,41,48,3.95,ID,1698638570
188,tingi,-11.3,35.0333,19.57,66,15,3.05,TZ,1698638571
189,pierre,44.3683,-100.351,-4.52,75,15,3.71,US,1698638571
190,harstad,68.799,16.5293,-1.03,96,99,1.34,NO,1698638571
191,nadi,-17.8,177.4167,33.0,52,40,4.12,FJ,1698638412
192,fortuna,40.5982,-124.1573,9.43,88,0,3.6,US,1698638530
193,guatrache,-37.6678,-63.5302,9.3,65,99,5.41,AR,1698638573
194,kuybyshevo,47.8123,38.9073,9.14,82,14,0.99,RU,1698638573
195,taro,-8.3862,115.28,28.0,44,22,2.36,ID,1698638573
196,ixtapa,20.7,-105.2,25.05,95,92,0.35,MX,1698638300
197,tamanrasset,22.785,5.5228,17.95,24,0,2.06,DZ,1698638524
198,korla,41.7597,86.1469,14.29,33,100,1.94,CN,1698638575
199,walvis bay,-22.9575,14.5053,13.48,89,0,2.07,NA,1698638575
200,nabire,-3.3667,135.4833,29.33,74,52,2.96,ID,1698638576
201,mount hagen,-5.8581,144.2274,22.42,64,75,5.14,PG,1698638576
202,estes park,40.3772,-105.5217,-11.43,85,3,0.89,US,1698638577
203,lompoc,34.6391,-120.4579,13.66,64,0,4.92,US,1698638456
204,zhalantun,48.0,122.7167,5.25,15,51,8.25,CN,1698638578
205,choibalsan,48.0667,114.5,1.41,18,100,6.47,MN,1698638578
206,dwarka,22.2394,68.9678,29.55,45,1,4.41,IN,1698638579
207,hazorasp,41.3194,61.0742,10.91,45,77,1.62,UZ,1698638579
208,yemva,62.59,50.8594,-4.63,94,100,2.14,RU,1698638579
209,nirmal,19.1,78.35,25.39,51,16,2.42,IN,1698638580
210,antofagasta,-23.65,-70.4,16.6,80,35,4.57,CL,1698638581
211,kerrville,30.0474,-99.1403,4.92,93,100,8.23,US,1698638431
212,gornozavodsk,58.3758,58.3211,-4.6,80,100,5.47,RU,1698638582
213,sajir,25.1825,44.5996,22.31,34,79,4.54,SA,1698638582
214,remire-montjoly,4.9167,-52.2667,25.02,94,75,0.0,GF,1698638583
215,richards bay,-28.783,32.0377,15.28,62,96,6.21,ZA,1698638584
216,hofors,60.5457,16.2867,0.1,79,95,3.15,SE,1698638584
217,uglegorsk,49.0833,142.0333,8.11,57,14,3.02,RU,1698638585
218,grand falls-windsor,48.9332,-55.6649,2.5,57,14,0.45,CA,1698638586
219,san patricio,28.017,-97.5169,18.92,71,10,8.91,US,1698638586
220,suva,-18.1416,178.4415,29.71,70,40,5.66,FJ,1698638587
221,timbuktu,16.7735,-3.0074,28.15,12,88,2.16,ML,1698638587
222,selfoss,63.9331,-20.9971,-1.09,73,75,2.98,IS,1698638588
223,mount gambier,-37.8333,140.7667,15.35,53,59,8.47,AU,1698638498
224,yelizovo,53.1873,158.3805,3.78,86,40,2.0,RU,1698638589
225,keflavik,64.0049,-22.5624,4.24,75,0,3.6,IS,1698638482
226,saint croix,17.7397,-64.7388,25.53,89,100,2.24,VI,1698638590
227,longyearbyen,78.2186,15.6401,-5.09,86,75,5.66,SJ,1698638590
228,berdigestyakh,62.0989,126.6992,-9.78,87,26,1.25,RU,1698638591
229,nova sintra,14.8667,-24.7167,22.75,69,92,2.79,CV,1698638592
230,kapuskasing,49.4169,-82.4331,-1.95,86,100,1.03,CA,1698638592
231,nkhotakota,-12.9274,34.2961,27.12,55,86,1.15,MW,1698638593
232,ad dabbah,18.05,30.95,26.18,27,8,2.96,SD,1698638593
233,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,40,2.0,RU,1698638594
234,mora,11.0461,14.1401,26.52,53,43,1.71,CM,1698638594
235,detroit lakes,46.8172,-95.8453,-5.08,85,100,3.09,US,1698638595
236,kristiansund,63.1115,7.732,0.03,80,3,1.03,NO,1698638595
237,rouissat,31.9243,5.3502,21.04,23,20,2.06,DZ,1698638596
238,puerto baquerizo moreno,-0.9,-89.6,23.36,80,100,5.18,EC,1698638432
239,soissons,49.3333,3.3333,10.37,85,100,3.58,FR,1698638596
240,dhidhdhoo,6.8833,73.1,25.78,85,100,4.81,MV,1698638597
241,narrabri,-30.3167,149.7833,33.62,21,0,1.79,AU,1698638597
242,langnau,46.9394,7.7874,8.86,82,47,1.92,CH,1698638598
243,mil'kovo,55.6078,37.7956,-0.27,95,100,2.82,RU,1698638519
244,linhares,-19.3911,-40.0722,22.86,82,95,2.99,BR,1698638578
245,bondo,3.8146,23.6866,20.94,98,100,1.05,CD,1698638600
246,howrah,22.5892,88.3103,28.0,65,3,2.06,IN,1698638600
247,namtsy,62.7161,129.6658,-8.58,82,100,1.67,RU,1698638601
248,acarau,-2.8856,-40.12,26.13,81,85,7.45,BR,1698638601
249,nova vicosa,-17.8919,-39.3719,24.01,77,62,5.38,BR,1698638602
250,arno,60.1167,18.6333,3.21,72,100,5.48,SE,1698638602
251,saipan,15.1355,145.701,28.93,77,89,5.14,MP,1698638603
252,ghanzi,-21.5667,21.7833,21.64,53,4,6.39,BW,1698638603
253,bardai,11.65,7.2333,22.46,24,90,3.8,NG,1698638604
254,portland,45.5234,-122.6762,10.96,51,0,6.26,US,1698638106
255,pionerskiy,54.9508,20.2275,11.91,86,80,11.57,RU,1698638605
256,effium,6.6292,8.0593,24.11,93,93,1.38,NG,1698638605
257,brookings,44.3114,-96.7984,-3.0,86,100,5.66,US,1698638478
258,santa cruz,-17.8,-63.1667,25.7,83,75,8.75,BO,1698638418
259,daru,-9.0763,143.2092,26.59,79,100,7.82,PG,1698638555
260,monte patria,-30.6919,-70.9467,16.0,61,44,0.53,CL,1698638607
261,meraux,29.933,-89.9498,24.0,89,0,3.09,US,1698638608
262,betio village,1.358,172.9211,32.02,74,100,3.55,KI,1698638608
263,belmonte,-15.8631,-38.8828,23.47,75,61,3.47,BR,1698638609
264,saint-louis,16.3333,-15.0,24.8,61,0,3.56,SN,1698638610
265,palmer,42.1584,-72.3287,8.52,85,100,1.54,US,1698638509
266,woodward,36.4337,-99.3904,-0.43,77,0,3.6,US,1698638611
267,constantia,44.1833,28.65,10.38,71,0,2.93,RO,1698638476
268,mabaruma,8.2,-59.7833,23.86,97,72,1.18,GY,1698638612
269,cabo san lucas,22.8909,-109.9124,26.4,75,0,3.09,MX,1698638401
270,suntar,62.1444,117.6319,-5.5,84,100,2.95,RU,1698638614
271,vadso,70.0744,29.7487,-4.91,86,20,5.66,NO,1698638614
272,tvoroyri,61.5556,-6.8111,7.38,64,100,10.85,FO,1698638615
273,kuala belait,4.5833,114.1833,30.09,69,100,1.8,BN,1698638615
274,coahuayana de hidalgo,18.7,-103.6583,25.95,91,65,1.22,MX,1698638616
275,borba,-4.3878,-59.5939,29.3,49,91,0.93,BR,1698638616
276,sterling,39.0062,-77.4286,18.02,86,100,2.57,US,1698638617
277,flying fish cove,-10.4217,105.6791,27.82,78,100,5.14,CX,1698638618
278,peace river,56.2501,-117.286,-4.83,86,75,1.54,CA,1698638563
279,praia,14.9215,-23.5087,24.3,78,20,2.57,CV,1698638618
280,park city,42.3484,-87.8842,4.04,77,100,3.09,US,1698638330
281,ekibastuz,51.6667,75.3667,9.72,91,100,7.77,KZ,1698638619
282,malpica,43.3228,-8.8105,11.3,78,44,6.93,ES,1698638620
283,asau,46.4333,26.4,7.51,68,52,2.68,RO,1698638620
284,ilhabela,-23.7781,-45.3581,24.19,89,100,2.25,BR,1698638621
285,vermillion,42.7794,-96.9292,-2.91,91,11,3.06,US,1698638621
286,rio grande,-32.035,-52.0986,20.53,95,9,2.47,BR,1698638516
287,piotrkow kujawski,52.5511,18.4991,14.39,85,100,5.21,PL,1698638622
288,bang saphan,11.2126,99.5117,30.75,61,100,3.04,TH,1698638623
289,port elizabeth,-33.918,25.5701,13.16,86,20,4.63,ZA,1698638605
290,lebu,-37.6167,-73.65,9.75,49,35,1.77,CL,1698638466
291,humaita,-7.5061,-63.0208,30.4,39,100,0.99,BR,1698638624
292,quincy,42.2529,-71.0023,9.57,94,100,2.06,US,1698638495
293,danane,7.2596,-8.155,20.7,93,0,0.51,CI,1698638625
294,saint-philippe,-21.3585,55.7679,26.77,83,41,4.99,RE,1698638626
295,island harbour,50.724,-1.2758,14.4,84,10,1.34,GB,1698638626
296,mendoza,-32.8908,-68.8272,24.74,5,0,5.14,AR,1698638401
297,nouadhibou,20.931,-17.0347,19.99,88,0,2.57,MR,1698638627
298,menongue,-14.6585,17.691,21.14,55,89,1.4,AO,1698638628
299,northam,51.0333,-4.2167,12.59,96,92,6.34,GB,1698638628
300,ad dawadimi,24.5077,44.3924,20.64,50,98,2.34,SA,1698638628
301,sitka,57.0531,-135.33,4.25,86,100,1.81,US,1698638452
302,ceyhan,37.0247,35.8175,16.19,39,74,1.7,TR,1698638629
303,jumla,29.2747,82.1838,15.81,39,0,1.44,NP,1698638630
304,dryden,49.7833,-92.7503,-6.84,93,100,3.6,CA,1698638630
305,yanam,16.7333,82.2167,29.99,53,0,3.37,IN,1698638630
306,kununurra,-15.7667,128.7333,36.99,28,98,1.54,AU,1698638603
307,manta,-0.95,-80.7333,24.88,78,40,2.06,EC,1698638631
308,san fernando,15.0286,120.6898,31.85,58,97,5.14,PH,1698638632
309,labytnangi,66.6572,66.4183,-15.0,98,93,1.44,RU,1698638632
310,dobrotesti,44.2833,24.8833,13.78,61,0,2.19,RO,1698638633
311,ulaangom,49.9811,92.0667,-0.53,63,100,1.38,MN,1698638633
312,florence,43.7667,11.25,19.66,85,75,3.09,IT,1698638511
313,valparaiso,-33.0393,-71.6273,12.8,87,75,1.03,CL,1698638634
314,afaahiti,-17.75,-149.2833,25.93,83,40,8.24,PF,1698638634
315,ancud,-41.8697,-73.8203,7.23,79,100,8.45,CL,1698638635
316,mar del plata,-38.0023,-57.5575,15.49,61,0,3.58,AR,1698638550
317,ayacucho,-13.1583,-74.2239,15.34,76,76,1.26,PE,1698638635
318,sabang,5.8933,95.3214,27.75,74,100,3.8,ID,1698638636
319,porto novo,6.4965,2.6036,27.9,85,69,1.34,BJ,1698638436
320,westport,41.1415,-73.3579,13.51,89,100,4.02,US,1698638416
321,anchorage,61.2181,-149.9003,5.92,80,100,0.45,US,1698638414
322,beyneu,45.3167,55.2,12.86,67,100,3.51,KZ,1698638637
323,al bayda',32.7627,21.7551,15.76,95,38,2.24,LY,1698638638
324,ramadi,33.4226,43.3058,26.02,30,100,2.37,IQ,1698638638
325,camiri,-20.05,-63.5167,23.02,76,74,0.4,BO,1698638639
326,roseland,38.4221,-122.728,14.95,51,0,3.6,US,1698638359
327,onega,63.9061,38.1404,-5.13,88,83,2.65,RU,1698638640
328,gaalkacyo,6.7697,47.4308,24.44,83,87,3.77,SO,1698638412
329,martinsburg,39.4562,-77.9639,15.96,93,100,1.48,US,1698638640
330,cabedelo,-6.9811,-34.8339,23.37,78,99,5.19,BR,1698638641
331,ulanhot,46.0833,122.0833,9.03,12,7,3.1,CN,1698638612
332,chernyshevskiy,63.0128,112.4714,-9.32,88,100,2.3,RU,1698638642
333,malabar,-33.9667,151.25,35.57,39,0,10.8,AU,1698638642
334,tan-tan,28.438,-11.1032,18.96,64,98,0.96,MA,1698638643
335,kayyerkan,69.3786,87.7439,-19.84,83,65,1.63,RU,1698638643
336,taltal,-25.4,-70.4833,15.17,85,18,1.73,CL,1698638421
337,sturgis,41.7992,-85.4192,5.89,93,100,3.6,US,1698638644
338,kerikeri,-35.2268,173.9474,17.73,94,100,2.68,NZ,1698638645
339,vila do maio,15.1333,-23.2167,24.44,74,96,2.51,CV,1698638645
340,mabopane,-25.4977,28.1007,11.48,66,100,9.67,ZA,1698638646
341,ulsteinvik,62.3432,5.8487,4.31,55,1,4.02,NO,1698638646
342,lorengau,-2.0226,147.2712,25.41,85,100,1.99,PG,1698638647
343,melo,-32.3667,-54.1833,19.16,89,57,2.79,UY,1698638648
344,port saint john's,-31.6229,29.5448,14.45,63,97,1.5,ZA,1698638648
345,gamay,12.3854,125.2979,28.09,88,98,4.05,PH,1698638649
346,kayar,14.9192,-17.1211,27.11,80,99,3.26,SN,1698638649
347,kirakira,-10.4544,161.9205,28.74,77,89,4.17,SB,1698638650
348,tougan,13.0667,-3.0667,26.77,31,0,1.4,BF,1698638650
349,dalandzadgad,43.5708,104.425,12.91,28,35,10.92,MN,1698638651
350,manacapuru,-3.2997,-60.6206,28.55,48,11,1.69,BR,1698638652
351,hopelchen,19.7667,-89.85,24.68,60,49,1.45,MX,1698638652
352,ifrane,33.3333,-5.25,9.93,74,100,7.96,MA,1698638653
353,bahia blanca,-38.7196,-62.2724,9.34,72,100,2.24,AR,1698638653
354,chapaev,50.2,51.1667,5.51,74,100,7.22,KZ,1698638654
355,vespasiano,-19.6919,-43.9233,22.56,93,75,2.57,BR,1698638654
356,wuyang,31.9925,116.2472,26.48,38,0,2.04,CN,1698638655
